team,rating,pts_v_avg,,,
ARI,1460.35,-1.56,-1.6,-1.586,1460.35
ATL,1493.725,-0.16,-0.3,-0.251,1493.725
BAL,1579.375,2.2,3.7,3.175,1579.375
BUF,1591.525,3.96,3.5,3.661,1591.525
CAR,1389.325,-3.92,-4.7,-4.427,1389.325
CHI,1469.325,-0.72,-1.5,-1.227,1469.325
CIN,1406.3,-3.28,-4,-3.748,1406.3
CLE,1391.875,-4,-4.5,-4.325,1391.875
DAL,1512.125,1.2,0.1,0.485,1512.125
DEN,1556.375,1.8,2.5,2.255,1556.375
DET,1638.6,5.44,5.6,5.544,1638.6
GB,1618.325,3.68,5.3,4.733,1618.325
HOU,1524.6,2.44,0.2,0.984,1524.6
IND,1576.8,1.72,3.8,3.072,1576.8
JAX,1477.075,-1.32,-0.7,-0.917,1477.075
KC,1650.95,6.48,5.8,6.038,1650.95
LA,1622.775,4.56,5.1,4.911,1622.775
LAC,1532.775,0.96,1.5,1.311,1532.775
LV,1381.425,-4.08,-5.1,-4.743,1381.425
MIA,1362.2,-5.72,-5.4,-5.512,1362.2
MIN,1502.2,-0.12,0.2,0.088,1502.2
NE,1511.625,0.4,0.5,0.465,1511.625
NO,1354.75,-6.2,-5.6,-5.81,1354.75
NYG,1422.65,-3.64,-2.8,-3.094,1422.65
NYJ,1340.3,-4.88,-7.2,-6.388,1340.3
PHI,1596.525,4.16,3.7,3.861,1596.525
PIT,1520.225,0.64,0.9,0.809,1520.225
SEA,1565.375,3.2,2.3,2.615,1565.375
SF,1518.525,1.56,0.3,0.741,1518.525
TB,1515.125,0.8,0.5,0.605,1515.125
TEN,1299.175,-8.28,-7.9,-8.033,1299.175
WAS,1441.65,0.76,-4,-2.334,1441.65
